model,stockage,couleur,etat,prix,lien
iPhone 12,64,Bleu,État correct,602.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Très bon état,619.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Parfait état,656.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Noir,État correct,587.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Très bon état,598.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Parfait état,671.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12 mini,64,Bleu,État correct,489.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Bleu,Très bon état,502.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Bleu,Parfait état,525.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Noir,État correct,487.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=12
iPhone 12 mini,64,Noir,Très bon état,511.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=12
iPhone 12 mini,64,Noir,Parfait état,521.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=12
iPhone 12,128,Bleu,État correct,660.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=10
iPhone 12,128,Bleu,Très bon état,708.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=10
iPhone 12,128,Bleu,Parfait état,739.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=10
iPhone 12 Pro,128,Bleu pacifique,État correct,802.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=12
iPhone 12 Pro,128,Bleu pacifique,Très bon état,800.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=12
iPhone 12 Pro,128,Bleu pacifique,Parfait état,879.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=12
iPhone 12 Pro Max,128,Bleu pacifique,État correct,892.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=12
iPhone 12 Pro Max,128,Bleu pacifique,Très bon état,902.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=12
iPhone 12 Pro Max,128,Bleu pacifique,Parfait état,945.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=12
iPhone 12,128,Noir,État correct,667.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12,128,Noir,Très bon état,703.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12,128,Noir,Parfait état,747.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12 Pro,128,Graphite,État correct,791.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=12
iPhone 12 Pro,128,Graphite,Très bon état,820.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=12
iPhone 12 Pro,128,Graphite,Parfait état,850.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=12
iPhone 12 mini,128,Bleu,État correct,515.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Bleu,Très bon état,567.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Bleu,Parfait état,595.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Noir,État correct,551.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 mini,128,Noir,Très bon état,568.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 mini,128,Noir,Parfait état,620.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 mini,64,Blanc,État correct,510.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=12
iPhone 12 mini,64,Blanc,Très bon état,530.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=12
iPhone 12 mini,64,Blanc,Parfait état,525.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=12
iPhone 12 Pro,128,Or,État correct,790.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=12
iPhone 12 Pro,128,Or,Très bon état,815.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=12
iPhone 12 Pro,128,Or,Parfait état,881.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=12
iPhone 12,64,(PRODUCT)Red,État correct,620.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=11
iPhone 12,64,(PRODUCT)Red,Très bon état,622.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=11
iPhone 12,64,(PRODUCT)Red,Parfait état,644.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=11
iPhone 12,64,Blanc,État correct,599.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Très bon état,635.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Parfait état,679.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12 mini,64,Vert,État correct,491.00,https://www.backmarket.fr/iphone-12-mini-64-go-vert-debloque-tout-operateur-pas-cher/412291.html#l=12
iPhone 12 mini,64,Vert,Très bon état,521.00,https://www.backmarket.fr/iphone-12-mini-64-go-vert-debloque-tout-operateur-pas-cher/412291.html#l=12
iPhone 12 mini,64,Vert,Parfait état,547.00,https://www.backmarket.fr/iphone-12-mini-64-go-vert-debloque-tout-operateur-pas-cher/412291.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,État correct,481.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Très bon état,494.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Parfait état,508.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,128,Blanc,État correct,525.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 mini,128,Blanc,Très bon état,565.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 mini,128,Blanc,Parfait état,640.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,État correct,911.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,Très bon état,966.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,Parfait état,999.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12,64,Vert,État correct,621.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12,64,Vert,Très bon état,657.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12,64,Vert,Parfait état,671.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12,128,Blanc,État correct,705.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=12
iPhone 12,128,Blanc,Très bon état,729.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=12
iPhone 12,128,Blanc,Parfait état,748.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=12
iPhone 12 Pro,256,Bleu pacifique,État correct,870.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=12
iPhone 12 Pro,256,Bleu pacifique,Très bon état,893.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=12
iPhone 12 Pro,256,Bleu pacifique,Parfait état,915.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=12
iPhone 12,64,Mauve,État correct,614.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=12
iPhone 12,64,Mauve,Parfait état,686.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=12
iPhone 12 Pro Max,128,Graphite,État correct,890.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=12
iPhone 12 Pro Max,128,Graphite,Très bon état,905.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=12
iPhone 12 Pro Max,128,Graphite,Parfait état,953.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=12
iPhone 12 mini,64,Mauve,État correct,503.00,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=12
