model,stockage,couleur,etat,prix,lien
iPhone 12,64,Noir,État correct,666.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Très bon état,674.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Parfait état,703.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Bleu,État correct,594.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Très bon état,683.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Parfait état,680.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12 mini,64,Bleu,État correct,555.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=10
iPhone 12 mini,64,Bleu,Très bon état,563.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=10
iPhone 12 mini,64,Bleu,Parfait état,540.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=10
iPhone 12 Pro,128,Bleu pacifique,État correct,796.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=12
iPhone 12 Pro,128,Bleu pacifique,Très bon état,881.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=12
iPhone 12 Pro,128,Bleu pacifique,Parfait état,888.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=12
iPhone 12 mini,64,Noir,État correct,591.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=10
iPhone 12 mini,64,Noir,Très bon état,620.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=10
iPhone 12 mini,64,Noir,Parfait état,582.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=10
iPhone 12,64,(PRODUCT)Red,État correct,647.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=10
iPhone 12,64,(PRODUCT)Red,Très bon état,666.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=10
iPhone 12,64,(PRODUCT)Red,Parfait état,646.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=10
iPhone 12,128,Bleu,État correct,720.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=12
iPhone 12,128,Bleu,Très bon état,726.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=12
iPhone 12,128,Bleu,Parfait état,762.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=12
iPhone 12,64,Blanc,État correct,665.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Très bon état,745.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Parfait état,700.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12 Pro,128,Graphite,État correct,810.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=12
iPhone 12 Pro,128,Graphite,Très bon état,863.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=12
iPhone 12 Pro,128,Graphite,Parfait état,911.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=12
iPhone 12,128,Noir,État correct,725.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12,128,Noir,Très bon état,758.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12,128,Noir,Parfait état,771.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12,64,Vert,État correct,690.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=10
iPhone 12,64,Vert,Très bon état,648.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=10
iPhone 12,64,Vert,Parfait état,706.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=10
iPhone 12 Pro Max,128,Bleu pacifique,État correct,930.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=12
iPhone 12 Pro Max,128,Bleu pacifique,Très bon état,944.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=12
iPhone 12 Pro Max,128,Bleu pacifique,Parfait état,963.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=12
iPhone 12 mini,128,Bleu,État correct,610.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Bleu,Très bon état,632.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Bleu,Parfait état,653.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Blanc,État correct,617.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 mini,128,Blanc,Très bon état,619.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 mini,128,Blanc,Parfait état,629.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 mini,128,Noir,État correct,623.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=10
iPhone 12 mini,128,Noir,Très bon état,627.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=10
iPhone 12 mini,128,Noir,Parfait état,642.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=10
iPhone 12 mini,64,Blanc,État correct,562.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=10
iPhone 12 mini,64,Blanc,Très bon état,599.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=10
iPhone 12 mini,64,Blanc,Parfait état,560.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=10
iPhone 12 mini,64,(PRODUCT)Red,État correct,599.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Très bon état,640.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Parfait état,606.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 Pro,256,Bleu pacifique,État correct,836.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=12
iPhone 12 Pro,256,Bleu pacifique,Très bon état,912.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=12
iPhone 12 Pro,256,Bleu pacifique,Parfait état,940.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,État correct,978.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,Très bon état,983.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,Parfait état,1036.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12,64,Mauve,État correct,739.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=12
iPhone 12,64,Mauve,Parfait état,699.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=12
iPhone 12 Pro,128,Or,État correct,855.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=12
iPhone 12 Pro,128,Or,Très bon état,867.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=12
iPhone 12 Pro,128,Or,Parfait état,937.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=12
iPhone 12,128,Blanc,État correct,788.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=11
iPhone 12,128,Blanc,Très bon état,774.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=11
iPhone 12,128,Blanc,Parfait état,792.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=11
iPhone 12 Pro Max,128,Graphite,État correct,949.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12 Pro Max,128,Graphite,Très bon état,900.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12 Pro Max,128,Graphite,Parfait état,981.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12,128,(PRODUCT)Red,État correct,725.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=10
iPhone 12,128,(PRODUCT)Red,Très bon état,745.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=10
iPhone 12,128,(PRODUCT)Red,Parfait état,713.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=10
iPhone 12 Pro Max,256,Graphite,État correct,984.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=12
iPhone 12 Pro Max,256,Graphite,Très bon état,1006.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=12
iPhone 12 Pro Max,256,Graphite,Parfait état,1098.90,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=12
iPhone 12 Pro,256,Graphite,État correct,880.00,https://www.backmarket.fr/iphone-12-pro-256-go-graphite-debloque-tout-operateur-pas-cher/413182.html#l=12
iPhone 12 Pro,256,Graphite,Très bon état,896.00,https://www.backmarket.fr/iphone-12-pro-256-go-graphite-debloque-tout-operateur-pas-cher/413182.html#l=12
iPhone 12 Pro,256,Graphite,Parfait état,978.00,https://www.backmarket.fr/iphone-12-pro-256-go-graphite-debloque-tout-operateur-pas-cher/413182.html#l=12
iPhone 12 mini,64,Mauve,État correct,669.00,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
iPhone 12 mini,64,Mauve,Très bon état,630.00,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
iPhone 12 mini,64,Mauve,Parfait état,596.00,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
iPhone 12 mini,64,Vert,État correct,640.00,https://www.backmarket.fr/iphone-12-mini-64-go-vert-debloque-tout-operateur-pas-cher/412291.html#l=12
iPhone 12 mini,64,Vert,Très bon état,650.00,https://www.backmarket.fr/iphone-12-mini-64-go-vert-debloque-tout-operateur-pas-cher/412291.html#l=12
iPhone 12 mini,64,Vert,Parfait état,650.00,https://www.backmarket.fr/iphone-12-mini-64-go-vert-debloque-tout-operateur-pas-cher/412291.html#l=12
