model,stockage,couleur,etat,prix,lien
iPhone 12,128,Blanc,État correct,732.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=11
iPhone 12,128,Blanc,Très bon état,726.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=11
iPhone 12,128,Blanc,Parfait état,799.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=11
iPhone 12 Pro,128,Argent,État correct,870.00,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=12
iPhone 12 Pro,128,Argent,Très bon état,892.00,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=12
iPhone 12 Pro,128,Argent,Parfait état,886.00,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=12
iPhone 12 mini,128,Blanc,État correct,580.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 mini,128,Blanc,Très bon état,640.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 mini,128,Blanc,Parfait état,639.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=12
iPhone 12 Pro Max,128,Graphite,État correct,953.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=12
iPhone 12 Pro Max,128,Graphite,Très bon état,956.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=12
iPhone 12 Pro Max,128,Graphite,Parfait état,980.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=12
iPhone 12,128,(PRODUCT)Red,État correct,725.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,128,(PRODUCT)Red,Très bon état,747.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,128,(PRODUCT)Red,Parfait état,757.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12 Pro Max,256,Graphite,État correct,974.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=12
iPhone 12 Pro Max,256,Graphite,Très bon état,980.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=12
iPhone 12 Pro Max,256,Graphite,Parfait état,1054.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=12
iPhone 12,128,Vert,Très bon état,734.00,https://www.backmarket.fr/iphone-12-128-go-vert-debloque-tout-operateur-pas-cher/418122.html#l=11
iPhone 12,128,Vert,Parfait état,760.00,https://www.backmarket.fr/iphone-12-128-go-vert-debloque-tout-operateur-pas-cher/418122.html#l=11
iPhone 12,64,Mauve,État correct,720.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=12
iPhone 12,64,Mauve,Parfait état,732.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=12
iPhone 12 mini,64,Mauve,Très bon état,632.90,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
iPhone 12 mini,64,Mauve,Parfait état,622.00,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
