model,stockage,couleur,etat,prix,lien
iPhone 12,64,Bleu,État correct,689.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Très bon état,714.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Parfait état,736.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Noir,État correct,689.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Très bon état,708.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Parfait état,789.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12 mini,64,Bleu,État correct,559.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Bleu,Très bon état,572.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Bleu,Parfait état,590.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Noir,État correct,625.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=11
iPhone 12 mini,64,Noir,Très bon état,580.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=11
iPhone 12 mini,64,Noir,Parfait état,588.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=11
iPhone 12 Pro,128,Bleu pacifique,État correct,871.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=11
iPhone 12 Pro,128,Bleu pacifique,Très bon état,863.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=11
iPhone 12 Pro,128,Bleu pacifique,Parfait état,873.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=11
iPhone 12,128,Bleu,État correct,731.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=11
iPhone 12,128,Bleu,Très bon état,730.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=11
iPhone 12,128,Bleu,Parfait état,740.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=11
iPhone 12,128,Noir,État correct,732.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12,128,Noir,Très bon état,742.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12,128,Noir,Parfait état,800.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=12
iPhone 12 Pro,128,Graphite,État correct,868.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=11
iPhone 12 Pro,128,Graphite,Très bon état,863.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=11
iPhone 12 Pro,128,Graphite,Parfait état,909.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=11
iPhone 12,64,Blanc,État correct,689.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Très bon état,709.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Parfait état,750.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12 Pro Max,128,Bleu pacifique,État correct,912.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=11
iPhone 12 Pro Max,128,Bleu pacifique,Très bon état,955.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=11
iPhone 12 Pro Max,128,Bleu pacifique,Parfait état,993.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=11
iPhone 12,64,(PRODUCT)Red,État correct,685.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=11
iPhone 12,64,(PRODUCT)Red,Très bon état,704.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=11
iPhone 12,64,(PRODUCT)Red,Parfait état,719.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=11
iPhone 12,64,Vert,État correct,698.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12,64,Vert,Très bon état,700.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12,64,Vert,Parfait état,730.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12 mini,64,Blanc,État correct,625.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=11
iPhone 12 mini,64,Blanc,Très bon état,580.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=11
iPhone 12 mini,64,Blanc,Parfait état,609.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=11
iPhone 12 mini,128,Bleu,État correct,593.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=11
iPhone 12 mini,128,Bleu,Très bon état,609.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=11
iPhone 12 mini,128,Bleu,Parfait état,629.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=11
iPhone 12 mini,128,Noir,État correct,595.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 mini,128,Noir,Très bon état,627.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 mini,128,Noir,Parfait état,628.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 Pro,256,Bleu pacifique,État correct,880.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=10
iPhone 12 Pro,256,Bleu pacifique,Très bon état,900.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=10
iPhone 12 Pro,256,Bleu pacifique,Parfait état,1010.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=10
iPhone 12 Pro Max,256,Bleu pacifique,État correct,945.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,Très bon état,966.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12 Pro Max,256,Bleu pacifique,Parfait état,1002.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=12
iPhone 12 Pro,128,Or,État correct,868.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=11
iPhone 12 Pro,128,Or,Très bon état,860.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=11
iPhone 12 Pro,128,Or,Parfait état,890.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=11
iPhone 12 mini,64,(PRODUCT)Red,État correct,580.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Très bon état,584.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Parfait état,592.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
