model,stockage,couleur,etat,prix,lien
iPhone 11,64,Noir,État correct,402.00,https://www.backmarket.fr/iphone-11-64-go-noir-debloque-tout-operateur-pas-cher/290057.html#l=12
iPhone 11,64,Noir,Très bon état,419.00,https://www.backmarket.fr/iphone-11-64-go-noir-debloque-tout-operateur-pas-cher/290057.html#l=12
iPhone 11,64,Noir,Parfait état,480.00,https://www.backmarket.fr/iphone-11-64-go-noir-debloque-tout-operateur-pas-cher/290057.html#l=12
iPhone 11,64,Blanc,État correct,423.00,https://www.backmarket.fr/iphone-11-64-go-blanc-debloque-tout-operateur-pas-cher/290058.html#l=12
iPhone 11,64,Blanc,Très bon état,435.00,https://www.backmarket.fr/iphone-11-64-go-blanc-debloque-tout-operateur-pas-cher/290058.html#l=12
iPhone 11,64,Blanc,Parfait état,460.00,https://www.backmarket.fr/iphone-11-64-go-blanc-debloque-tout-operateur-pas-cher/290058.html#l=12
iPhone 11,64,Mauve,État correct,419.00,https://www.backmarket.fr/iphone-11-64-go-mauve-debloque-tout-operateur-pas-cher/290062.html#l=12
iPhone 11,64,Mauve,Très bon état,424.00,https://www.backmarket.fr/iphone-11-64-go-mauve-debloque-tout-operateur-pas-cher/290062.html#l=12
iPhone 11,64,Mauve,Parfait état,469.00,https://www.backmarket.fr/iphone-11-64-go-mauve-debloque-tout-operateur-pas-cher/290062.html#l=12
iPhone 11,128,Noir,État correct,460.00,https://www.backmarket.fr/iphone-11-128-go-noir-debloque-tout-operateur-pas-cher/290063.html#l=12
iPhone 11,128,Noir,Très bon état,504.90,https://www.backmarket.fr/iphone-11-128-go-noir-debloque-tout-operateur-pas-cher/290063.html#l=12
iPhone 11,128,Noir,Parfait état,538.00,https://www.backmarket.fr/iphone-11-128-go-noir-debloque-tout-operateur-pas-cher/290063.html#l=12
iPhone 11,64,Rouge,État correct,412.00,https://www.backmarket.fr/iphone-11-64-go-rouge-debloque-tout-operateur-pas-cher/290060.html#l=12
iPhone 11,64,Rouge,Très bon état,454.90,https://www.backmarket.fr/iphone-11-64-go-rouge-debloque-tout-operateur-pas-cher/290060.html#l=12
iPhone 11,64,Rouge,Parfait état,473.00,https://www.backmarket.fr/iphone-11-64-go-rouge-debloque-tout-operateur-pas-cher/290060.html#l=12
iPhone 11 Pro,64,Gris sidéral,État correct,515.00,https://www.backmarket.fr/iphone-11-pro-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290033.html#l=12
iPhone 11 Pro,64,Gris sidéral,Très bon état,530.00,https://www.backmarket.fr/iphone-11-pro-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290033.html#l=12
iPhone 11 Pro,64,Gris sidéral,Parfait état,545.99,https://www.backmarket.fr/iphone-11-pro-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290033.html#l=12
iPhone 11 Pro,64,Vert nuit,État correct,495.00,https://www.backmarket.fr/iphone-11-pro-64-go-vert-nuit-debloque-tout-operateur-pas-cher/290036.html#l=12
iPhone 11 Pro,64,Vert nuit,Très bon état,529.00,https://www.backmarket.fr/iphone-11-pro-64-go-vert-nuit-debloque-tout-operateur-pas-cher/290036.html#l=12
iPhone 11 Pro,64,Vert nuit,Parfait état,553.00,https://www.backmarket.fr/iphone-11-pro-64-go-vert-nuit-debloque-tout-operateur-pas-cher/290036.html#l=12
iPhone 11,128,Mauve,État correct,479.00,https://www.backmarket.fr/iphone-11-128-go-mauve-debloque-tout-operateur-pas-cher/290067.html#l=12
iPhone 11,128,Mauve,Très bon état,506.00,https://www.backmarket.fr/iphone-11-128-go-mauve-debloque-tout-operateur-pas-cher/290067.html#l=12
iPhone 11,128,Mauve,Parfait état,535.00,https://www.backmarket.fr/iphone-11-128-go-mauve-debloque-tout-operateur-pas-cher/290067.html#l=12
iPhone 11,128,Rouge,État correct,455.00,https://www.backmarket.fr/iphone-11-128-go-rouge-debloque-tout-operateur-pas-cher/290065.html#l=12
iPhone 11,128,Rouge,Très bon état,503.00,https://www.backmarket.fr/iphone-11-128-go-rouge-debloque-tout-operateur-pas-cher/290065.html#l=12
