model,stockage,couleur,etat,prix,lien
iPhone 11,64,Noir,État correct,499.00,https://www.backmarket.fr/iphone-11-64-go-noir-debloque-tout-operateur-pas-cher/290057.html#l=12
iPhone 11,64,Noir,Très bon état,500.00,https://www.backmarket.fr/iphone-11-64-go-noir-debloque-tout-operateur-pas-cher/290057.html#l=12
iPhone 11,64,Noir,Parfait état,524.00,https://www.backmarket.fr/iphone-11-64-go-noir-debloque-tout-operateur-pas-cher/290057.html#l=12
iPhone 11,64,Rouge,État correct,462.00,https://www.backmarket.fr/iphone-11-64-go-rouge-debloque-tout-operateur-pas-cher/290060.html#l=12
iPhone 11,64,Rouge,Très bon état,496.00,https://www.backmarket.fr/iphone-11-64-go-rouge-debloque-tout-operateur-pas-cher/290060.html#l=12
iPhone 11,64,Rouge,Parfait état,495.00,https://www.backmarket.fr/iphone-11-64-go-rouge-debloque-tout-operateur-pas-cher/290060.html#l=12
iPhone 11,64,Mauve,État correct,499.00,https://www.backmarket.fr/iphone-11-64-go-mauve-debloque-tout-operateur-pas-cher/290062.html#l=12
iPhone 11,64,Mauve,Très bon état,510.00,https://www.backmarket.fr/iphone-11-64-go-mauve-debloque-tout-operateur-pas-cher/290062.html#l=12
iPhone 11,64,Mauve,Parfait état,533.00,https://www.backmarket.fr/iphone-11-64-go-mauve-debloque-tout-operateur-pas-cher/290062.html#l=12
iPhone 11,128,Noir,État correct,510.00,https://www.backmarket.fr/iphone-11-128-go-noir-debloque-tout-operateur-pas-cher/290063.html#l=12
iPhone 11,128,Noir,Très bon état,570.00,https://www.backmarket.fr/iphone-11-128-go-noir-debloque-tout-operateur-pas-cher/290063.html#l=12
iPhone 11,128,Noir,Parfait état,585.00,https://www.backmarket.fr/iphone-11-128-go-noir-debloque-tout-operateur-pas-cher/290063.html#l=12
iPhone 11,64,Blanc,État correct,499.00,https://www.backmarket.fr/iphone-11-64-go-blanc-debloque-tout-operateur-pas-cher/290058.html#l=12
iPhone 11,64,Blanc,Très bon état,501.00,https://www.backmarket.fr/iphone-11-64-go-blanc-debloque-tout-operateur-pas-cher/290058.html#l=12
iPhone 11,64,Blanc,Parfait état,543.00,https://www.backmarket.fr/iphone-11-64-go-blanc-debloque-tout-operateur-pas-cher/290058.html#l=12
iPhone 11 Pro,64,Gris sidéral,État correct,564.99,https://www.backmarket.fr/iphone-11-pro-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290033.html#l=12
iPhone 11 Pro,64,Gris sidéral,Très bon état,594.00,https://www.backmarket.fr/iphone-11-pro-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290033.html#l=12
iPhone 11 Pro,64,Gris sidéral,Parfait état,617.00,https://www.backmarket.fr/iphone-11-pro-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290033.html#l=12
iPhone 11 Pro,64,Vert nuit,État correct,566.99,https://www.backmarket.fr/iphone-11-pro-64-go-vert-nuit-debloque-tout-operateur-pas-cher/290036.html#l=12
iPhone 11 Pro,64,Vert nuit,Très bon état,578.00,https://www.backmarket.fr/iphone-11-pro-64-go-vert-nuit-debloque-tout-operateur-pas-cher/290036.html#l=12
iPhone 11 Pro,64,Vert nuit,Parfait état,609.00,https://www.backmarket.fr/iphone-11-pro-64-go-vert-nuit-debloque-tout-operateur-pas-cher/290036.html#l=12
iPhone 11,128,Rouge,État correct,533.00,https://www.backmarket.fr/iphone-11-128-go-rouge-debloque-tout-operateur-pas-cher/290065.html#l=11
iPhone 11,128,Rouge,Très bon état,531.00,https://www.backmarket.fr/iphone-11-128-go-rouge-debloque-tout-operateur-pas-cher/290065.html#l=11
iPhone 11,128,Rouge,Parfait état,581.00,https://www.backmarket.fr/iphone-11-128-go-rouge-debloque-tout-operateur-pas-cher/290065.html#l=11
iPhone 11,128,Mauve,État correct,540.00,https://www.backmarket.fr/iphone-11-128-go-mauve-debloque-tout-operateur-pas-cher/290067.html#l=12
iPhone 11,128,Mauve,Très bon état,595.00,https://www.backmarket.fr/iphone-11-128-go-mauve-debloque-tout-operateur-pas-cher/290067.html#l=12
iPhone 11,128,Mauve,Parfait état,606.00,https://www.backmarket.fr/iphone-11-128-go-mauve-debloque-tout-operateur-pas-cher/290067.html#l=12
iPhone 11,64,Vert,État correct,532.44,https://www.backmarket.fr/iphone-11-64-go-vert-debloque-tout-operateur-pas-cher/290059.html#l=10
iPhone 11,64,Vert,Très bon état,516.00,https://www.backmarket.fr/iphone-11-64-go-vert-debloque-tout-operateur-pas-cher/290059.html#l=10
iPhone 11,64,Vert,Parfait état,538.00,https://www.backmarket.fr/iphone-11-64-go-vert-debloque-tout-operateur-pas-cher/290059.html#l=10
iPhone 11 Pro,256,Gris sidéral,État correct,591.00,https://www.backmarket.fr/iphone-11-pro-256-go-gris-sideral-debloque-tout-operateur-pas-cher/290037.html#l=12
iPhone 11 Pro,256,Gris sidéral,Très bon état,648.00,https://www.backmarket.fr/iphone-11-pro-256-go-gris-sideral-debloque-tout-operateur-pas-cher/290037.html#l=12
iPhone 11 Pro,256,Gris sidéral,Parfait état,695.00,https://www.backmarket.fr/iphone-11-pro-256-go-gris-sideral-debloque-tout-operateur-pas-cher/290037.html#l=12
iPhone 11 Pro,256,Vert nuit,État correct,576.00,https://www.backmarket.fr/iphone-11-pro-256-go-vert-nuit-debloque-tout-operateur-pas-cher/326956.html#l=12
iPhone 11 Pro,256,Vert nuit,Très bon état,679.00,https://www.backmarket.fr/iphone-11-pro-256-go-vert-nuit-debloque-tout-operateur-pas-cher/326956.html#l=12
iPhone 11 Pro,256,Vert nuit,Parfait état,710.00,https://www.backmarket.fr/iphone-11-pro-256-go-vert-nuit-debloque-tout-operateur-pas-cher/326956.html#l=12
