model,stockage,couleur,etat,prix,lien
iPhone 12 Pro,256,Bleu pacifique,État correct,939.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=11
iPhone 12 Pro,256,Bleu pacifique,Très bon état,887.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=11
iPhone 12 Pro,256,Bleu pacifique,Parfait état,999.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=11
iPhone 12 Pro,128,Argent,État correct,947.07,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=10
iPhone 12 Pro,128,Argent,Très bon état,891.00,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=10
iPhone 12 Pro,128,Argent,Parfait état,909.00,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=10
iPhone 12 mini,128,Blanc,État correct,660.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=11
iPhone 12 mini,128,Blanc,Très bon état,630.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=11
iPhone 12 mini,128,Blanc,Parfait état,639.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=11
iPhone 12 Pro Max,128,Graphite,État correct,953.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12 Pro Max,128,Graphite,Très bon état,944.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12 Pro Max,128,Graphite,Parfait état,1031.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12,128,(PRODUCT)Red,État correct,725.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,128,(PRODUCT)Red,Très bon état,746.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,128,(PRODUCT)Red,Parfait état,744.90,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,64,Mauve,État correct,720.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=10
iPhone 12,64,Mauve,Parfait état,735.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=10
iPhone 12 Pro Max,256,Graphite,État correct,966.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=11
iPhone 12 Pro Max,256,Graphite,Très bon état,955.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=11
iPhone 12 Pro Max,256,Graphite,Parfait état,1089.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=11
iPhone 12,128,Vert,Très bon état,740.00,https://www.backmarket.fr/iphone-12-128-go-vert-debloque-tout-operateur-pas-cher/418122.html#l=11
iPhone 12,128,Vert,Parfait état,770.00,https://www.backmarket.fr/iphone-12-128-go-vert-debloque-tout-operateur-pas-cher/418122.html#l=11
iPhone 12 mini,64,Mauve,Très bon état,632.90,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
iPhone 12 mini,64,Mauve,Parfait état,600.00,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
