model,stockage,couleur,etat,prix,lien
iPhone 11,128,Blanc,État correct,534.00,https://www.backmarket.fr/iphone-11-128-go-blanc-debloque-tout-operateur-pas-cher/311316.html#l=12
iPhone 11,128,Blanc,Très bon état,556.00,https://www.backmarket.fr/iphone-11-128-go-blanc-debloque-tout-operateur-pas-cher/311316.html#l=12
iPhone 11,128,Blanc,Parfait état,575.00,https://www.backmarket.fr/iphone-11-128-go-blanc-debloque-tout-operateur-pas-cher/311316.html#l=12
iPhone 11 Pro Max,64,Gris sidéral,État correct,653.00,https://www.backmarket.fr/iphone-11-pro-max-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290045.html#l=12
iPhone 11 Pro Max,64,Gris sidéral,Très bon état,672.00,https://www.backmarket.fr/iphone-11-pro-max-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290045.html#l=12
iPhone 11 Pro Max,64,Gris sidéral,Parfait état,705.00,https://www.backmarket.fr/iphone-11-pro-max-64-go-gris-sideral-debloque-tout-operateur-pas-cher/290045.html#l=12
iPhone 11 Pro Max,256,Gris sidéral,État correct,655.00,https://www.backmarket.fr/iphone-11-pro-max-256-go-gris-sideral-debloque-tout-operateur-pas-cher/290049.html#l=12
iPhone 11 Pro Max,256,Gris sidéral,Très bon état,734.90,https://www.backmarket.fr/iphone-11-pro-max-256-go-gris-sideral-debloque-tout-operateur-pas-cher/290049.html#l=12
iPhone 11 Pro Max,256,Gris sidéral,Parfait état,799.00,https://www.backmarket.fr/iphone-11-pro-max-256-go-gris-sideral-debloque-tout-operateur-pas-cher/290049.html#l=12
iPhone 11 Pro,256,Or,État correct,659.90,https://www.backmarket.fr/iphone-11-pro-256-go-or-debloque-tout-operateur-pas-cher/290039.html#l=11
iPhone 11 Pro,256,Or,Très bon état,653.00,https://www.backmarket.fr/iphone-11-pro-256-go-or-debloque-tout-operateur-pas-cher/290039.html#l=11
iPhone 11 Pro,256,Or,Parfait état,696.00,https://www.backmarket.fr/iphone-11-pro-256-go-or-debloque-tout-operateur-pas-cher/290039.html#l=11
